Ensemble HUGO OMIM_ID
ENSG00000171476 HOPX NA
ENSG00000084092 NOA1 NA
ENSG00000145242 EPHA5 NA
ENSG00000033178 UBA6 NA
ENSG00000109163 GNRHR 228300
ENSG00000109163 GNRHR 146110
ENSG00000083896 YTHDC1 NA
ENSG00000173597 SULT1B1 NA
ENSG00000109193 SULT1E1 NA
ENSG00000135222 CSN2 NA
ENSG00000132463 GRSF1 NA
ENSG00000145321 GC 139200
ENSG00000132466 ANKRD17 NA
ENSG00000109272 PF4V1 NA
ENSG00000163736 PPBP NA
ENSG00000163735 CXCL5 NA
ENSG00000163734 CXCL3 NA
ENSG00000137500 CCDC90B NA
ENSG00000174808 BTC NA
ENSG00000163743 RCHY1 NA
ENSG00000138769 CDKL2 NA
ENSG00000138757 G3BP2 NA
ENSG00000156194 PPEF2 NA
ENSG00000138755 CXCL9 NA
ENSG00000169245 CXCL10 NA
ENSG00000169248 CXCL11 NA
ENSG00000138750 NUP54 NA
ENSG00000138760 SCARB2 254900
ENSG00000163749 CCDC158 NA
ENSG00000118816 CCNI NA
ENSG00000138767 CNOT6L NA
ENSG00000196475 GK2 NA
ENSG00000163297 ANTXR2 228600
ENSG00000138669 PRKG2 NA
ENSG00000138668 HNRNPD NA
ENSG00000152795 HNRNPDL NA
ENSG00000189308 LIN54 NA
ENSG00000145287 PLAC8 NA
ENSG00000173085 COQ2 607426
ENSG00000163623 NKX6-1 NA
ENSG00000163625 WDFY3 NA
ENSG00000109339 MAPK10 NA
ENSG00000198189 HSD17B11 NA
ENSG00000152583 SPARCL1 NA
ENSG00000118777 ABCG2 614490
ENSG00000118777 ABCG2 138900
ENSG00000177432 NAP1L5 NA
ENSG00000145335 SNCA 605543
ENSG00000145335 SNCA 168601
ENSG00000145335 SNCA 168600
ENSG00000145335 SNCA 127750
ENSG00000163106 HPGDS NA
ENSG00000182168 UNC5C NA
ENSG00000151247 EIF4E 615091
ENSG00000145331 TRMT10A NA
ENSG00000109270 LAMTOR3 NA
ENSG00000145358 DDIT4L NA
ENSG00000164035 EMCN NA
ENSG00000138814 PPP3CA NA
ENSG00000109332 UBE2D3 NA
ENSG00000164038 SLC9B2 NA
ENSG00000138778 CENPE NA
ENSG00000169836 TACR3 614840
ENSG00000168772 CXXC4 NA
ENSG00000138777 PPA2 NA
ENSG00000145348 TBCK NA
ENSG00000136238 RAC1 NA
ENSG00000138801 PAPSS1 NA
ENSG00000138795 LEF1 NA
ENSG00000164089 ETNPPL NA
ENSG00000188517 COL25A1 NA
ENSG00000138794 CASP6 NA
ENSG00000205403 CFI 612923
ENSG00000205403 CFI 610984
ENSG00000170522 ELOVL6 NA
ENSG00000164093 PITX2 604229
ENSG00000164093 PITX2 180550
ENSG00000164093 PITX2 180500
ENSG00000164093 PITX2 137600
ENSG00000145365 TIFA NA
ENSG00000178403 NEUROG2 NA
ENSG00000145349 CAMK2D NA
ENSG00000164099 PRSS12 249500
ENSG00000150961 SEC24D NA
ENSG00000138735 PDE5A NA
ENSG00000050730 TNIP3 NA
ENSG00000164111 ANXA5 614391
ENSG00000145386 CCNA2 NA
ENSG00000138686 BBS7 209900
ENSG00000138741 TRPC3 NA
ENSG00000109471 IL2 NA
ENSG00000138684 IL21 NA
ENSG00000151458 ANKRD50 NA
ENSG00000164040 PGRMC2 NA
ENSG00000109390 NDUFC1 NA
ENSG00000145391 SETD7 NA
ENSG00000153132 CLGN NA
ENSG00000109424 UCP1 NA
ENSG00000164162 ANAPC10 NA
ENSG00000151612 ZNF827 NA
ENSG00000120519 SLC10A7 NA
ENSG00000164169 PRMT10 NA
ENSG00000151623 NR3C2 605115
ENSG00000151623 NR3C2 177735
ENSG00000198589 LRBA 614700
ENSG00000059691 PET112 NA
ENSG00000109670 FBXW7 NA
ENSG00000145423 SFRP2 NA
ENSG00000171566 PLRG1 NA
ENSG00000171560 FGA 202400
ENSG00000171560 FGA 134820
ENSG00000171560 FGA 105200
ENSG00000171557 FGG 202400
ENSG00000145431 PDGFC NA
ENSG00000145414 NAF1 NA
ENSG00000164128 NPY1R NA
ENSG00000151005 TKTL2 NA
ENSG00000140350 ANP32A NA
ENSG00000196104 SPOCK3 NA
ENSG00000154447 SH3RF1 NA
ENSG00000137601 NEK1 263520
ENSG00000109576 AADAT NA
ENSG00000164104 HMGB2 NA
ENSG00000164107 HAND2 NA
ENSG00000164117 FBXO8 NA
ENSG00000164120 HPGD 259100
ENSG00000164120 HPGD 119900
ENSG00000145451 GLRA3 NA
ENSG00000150625 GPM6A NA
ENSG00000150630 VEGFC NA
ENSG00000038002 AGA 208400
ENSG00000129187 DCTD NA
ENSG00000182552 RWDD4 NA
ENSG00000168310 IRF2 NA
ENSG00000164305 CASP3 NA
ENSG00000151725 CENPU NA
ENSG00000151726 ACSL1 NA
ENSG00000109771 LRP2BP NA
ENSG00000109775 UFSP2 NA
ENSG00000154553 PDLIM3 NA
ENSG00000154556 SORBS2 NA
ENSG00000168412 MTNR1A NA
ENSG00000083857 FAT1 NA
ENSG00000073578 SDHA 614165
ENSG00000073578 SDHA 613642
ENSG00000073578 SDHA 256000
ENSG00000073578 SDHA 252011
ENSG00000180104 EXOC3 NA
ENSG00000112877 CEP72 NA
ENSG00000071539 TRIP13 NA
ENSG00000145506 NKD2 NA
ENSG00000174358 SLC6A19 242600
ENSG00000174358 SLC6A19 234500
ENSG00000174358 SLC6A19 138500
ENSG00000145494 NDUFS6 NA
ENSG00000145545 SRD5A1 NA
ENSG00000112941 PAPD7 NA
ENSG00000078295 ADCY2 NA
ENSG00000150753 CCT5 256840
ENSG00000145495 MARCH6 NA
ENSG00000145491 ROPN1L NA
ENSG00000038382 TRIO NA
ENSG00000154124 FAM105B NA
ENSG00000183580 FBXL7 NA
ENSG00000176788 BASP1 NA
ENSG00000113361 CDH6 NA
ENSG00000082213 C5orf22 NA
ENSG00000133401 PDZD2 NA
ENSG00000113389 NPR3 NA
ENSG00000113407 TARS NA
ENSG00000039560 RAI14 NA
ENSG00000152582 SPEF2 NA
ENSG00000168685 IL7R 612595
ENSG00000168685 IL7R 608971
ENSG00000145604 SKP2 NA
ENSG00000079215 SLC1A3 612656
ENSG00000164190 NIPBL 122470
ENSG00000145623 OSMR 105250
ENSG00000132357 CARD6 NA
ENSG00000112936 C7 610102
ENSG00000151876 FBXO4 NA
ENSG00000112964 GHR 604271
ENSG00000112964 GHR 262500
ENSG00000112964 GHR 143890
ENSG00000172262 ZNF131 NA
ENSG00000112992 NNT 614736
ENSG00000112996 MRPS30 NA
ENSG00000016082 ISL1 NA
ENSG00000164171 ITGA2 NA
ENSG00000134363 FST NA
ENSG00000164258 NDUFS4 252010
ENSG00000169271 HSPB3 613376
ENSG00000178996 SNX18 NA
ENSG00000145649 GZMA NA
ENSG00000039123 SKIV2L2 NA
ENSG00000152670 DDX4 NA
ENSG00000164509 IL31RA 613955
ENSG00000062194 GPBP1 NA
ENSG00000152932 RAB3C NA
ENSG00000068796 KIF2A NA
ENSG00000113597 TRAPPC13 NA
ENSG00000123213 NLN NA
ENSG00000112851 ERBB2IP NA
ENSG00000153914 SREK1 NA
ENSG00000145675 PIK3R1 615214
ENSG00000145740 SLC30A5 NA
ENSG00000134057 CCNB1 NA
ENSG00000153044 CENPH NA
ENSG00000152942 RAD17 NA
ENSG00000131711 MAP1B NA
ENSG00000083312 TNPO1 NA
ENSG00000164338 UTP15 NA
ENSG00000214944 ARHGEF28 NA
ENSG00000049860 HEXB 268800
ENSG00000113161 HMGCR 142910
ENSG00000122008 POLK NA
ENSG00000145703 IQGAP2 NA
ENSG00000181104 F2R NA
ENSG00000164251 F2RL1 NA
ENSG00000171643 S100Z NA
ENSG00000145708 CRHBP NA
ENSG00000164252 AGGF1 149000
ENSG00000113231 PDE8B 614190
ENSG00000113231 PDE8B 609161
ENSG00000085365 SCAMP1 NA
ENSG00000145692 BHMT NA
ENSG00000152409 JMY NA
ENSG00000164329 PAPD4 NA
ENSG00000164309 CMYA5 NA
ENSG00000113296 THBS4 NA
ENSG00000164299 SPZ1 NA
ENSG00000039319 ZFYVE16 NA
ENSG00000113318 MSH3 608089
ENSG00000113319 RASGRF2 NA
ENSG00000131730 CKMT2 NA
ENSG00000152348 ATG10 NA
ENSG00000152422 XRCC4 NA
ENSG00000038427 VCAN 143200
ENSG00000145715 RASA1 608355
ENSG00000145715 RASA1 608354
ENSG00000113356 POLR3G NA
ENSG00000175745 NR2F1 NA
ENSG00000153113 CAST NA
ENSG00000113441 LNPEP NA
ENSG00000145730 PAM NA
ENSG00000145725 PPIP5K2 NA
ENSG00000151422 FER NA
ENSG00000112893 MAN2A1 NA
ENSG00000164209 SLC25A46 NA
ENSG00000145777 TSLP NA
ENSG00000134987 WDR36 609887
ENSG00000152495 CAMK4 NA
ENSG00000134982 APC 613659
ENSG00000134982 APC 276300
ENSG00000134982 APC 175100
ENSG00000134982 APC 155255
ENSG00000134982 APC 135290
ENSG00000134982 APC 114550
ENSG00000172795 DCP2 NA
ENSG00000047188 YTHDC2 NA
ENSG00000177879 AP3S1 NA
ENSG00000145781 COMMD10 NA
ENSG00000145779 TNFAIP8 NA
ENSG00000133835 HSD17B4 261515
ENSG00000133835 HSD17B4 233400
ENSG00000151304 SRFBP1 NA
ENSG00000064692 SNCAIP 168600
ENSG00000205302 SNX2 NA
ENSG00000064652 SNX24 NA
ENSG00000155324 GRAMD3 NA
ENSG00000164902 PHAX NA
ENSG00000113368 LMNB1 169500
ENSG00000145794 MEGF10 614399
ENSG00000164244 PRRC1 NA
ENSG00000064651 SLC12A2 NA
ENSG00000113396 SLC27A6 NA
ENSG00000066583 ISOC1 NA
ENSG00000158985 CDC42SE2 NA
ENSG00000164399 IL3 NA
ENSG00000164400 CSF2 NA
ENSG00000131435 PDLIM4 NA
ENSG00000197208 SLC22A4 180300
ENSG00000197375 SLC22A5 212140
ENSG00000113522 RAD50 613078
ENSG00000169194 IL13 607154
ENSG00000113520 IL4 601367
ENSG00000198944 SOWAHA NA
ENSG00000164405 UQCRQ 615159
ENSG00000170606 HSPA4 NA
ENSG00000081059 TCF7 NA
ENSG00000119048 UBE2B NA
ENSG00000113615 SEC24A NA
ENSG00000164615 CAMLG NA
ENSG00000145833 DDX46 NA
ENSG00000132570 PCBD2 NA
ENSG00000120708 TGFBI 608471
ENSG00000120708 TGFBI 608470
ENSG00000120708 TGFBI 607541
ENSG00000120708 TGFBI 602082
ENSG00000120708 TGFBI 122200
ENSG00000120708 TGFBI 121900
ENSG00000120708 TGFBI 121820
ENSG00000113658 SMAD5 NA
ENSG00000120729 MYOT 609200
ENSG00000120729 MYOT 182920
ENSG00000120729 MYOT 159000
ENSG00000061492 WNT8A NA
ENSG00000120709 FAM53C NA
ENSG00000120733 KDM3B NA
ENSG00000132563 REEP2 NA
ENSG00000120738 EGR1 NA
ENSG00000120727 PAIP2 NA
ENSG00000131508 UBE2D2 NA
ENSG00000171604 CXXC5 NA
ENSG00000185129 PURA NA
ENSG00000120314 WDR55 NA
ENSG00000131503 ANKHD1 NA
ENSG00000113119 TMCO6 NA
ENSG00000113141 IK NA
ENSG00000146007 ZMAT2 NA
ENSG00000013561 RNF14 NA
ENSG00000131507 NDFIP1 NA
ENSG00000145819 ARHGAP26 607785
ENSG00000113649 TCERG1 NA
ENSG00000133710 SPINK5 256500
ENSG00000145879 SPINK7 NA
ENSG00000169252 ADRB2 109690
ENSG00000173210 ABLIM3 NA
ENSG00000157510 AFAP1L1 NA
ENSG00000164284 GRPEL2 NA
ENSG00000155846 PPARGC1B NA
ENSG00000113722 CDX1 NA
ENSG00000070814 TCOF1 154500
ENSG00000070614 NDST1 NA
ENSG00000171992 SYNPO NA
ENSG00000164591 MYOZ3 NA
ENSG00000123643 SLC36A1 NA
ENSG00000155511 GRIA1 NA
ENSG00000037749 MFAP3 NA
ENSG00000164574 GALNT10 NA
ENSG00000164576 SAP30L NA
ENSG00000155506 LARP1 NA
ENSG00000155508 CNOT8 NA
ENSG00000082515 MRPL22 NA
ENSG00000170624 SGCD 606685
ENSG00000170624 SGCD 601287
ENSG00000113263 ITK 613011
ENSG00000055163 CYFIP2 NA
ENSG00000113272 THG1L NA
ENSG00000155858 LSM11 NA
ENSG00000164332 UBLCP1 NA
ENSG00000170214 ADRA1B NA
ENSG00000113312 TTC1 NA
ENSG00000170231 FABP6 NA
ENSG00000145863 GABRA6 NA
ENSG00000022355 GABRA1 611136
ENSG00000113327 GABRG2 611277
ENSG00000113327 GABRG2 607681
ENSG00000113327 GABRG2 607208
ENSG00000113327 GABRG2 604233
ENSG00000113328 CCNG1 NA
ENSG00000072571 HMMR NA
ENSG00000038274 MAT2B NA
ENSG00000113645 WWC1 NA
ENSG00000113643 RARS NA
ENSG00000040275 SPDL1 NA
ENSG00000134516 DOCK2 NA
ENSG00000182132 KCNIP1 NA
ENSG00000164438 TLX3 NA
ENSG00000181163 NPM1 NA
ENSG00000156427 FGF18 NA
ENSG00000113719 ERGIC1 NA
ENSG00000164463 CREBRF NA
ENSG00000113734 BNIP1 NA
ENSG00000113742 CPEB4 NA
ENSG00000170091 NA NA
ENSG00000164466 SFXN1 NA
ENSG00000113749 HRH2 NA
ENSG00000145920 CPLX2 NA
ENSG00000113194 FAF2 NA
ENSG00000074276 CDHR2 NA
ENSG00000048140 TSPAN17 NA
ENSG00000113761 ZNF346 NA
ENSG00000160867 FGFR4 NA
ENSG00000165671 NSD1 130650
ENSG00000165671 NSD1 117550
ENSG00000169220 RGS14 NA
ENSG00000131183 SLC34A1 613388
ENSG00000131183 SLC34A1 612286
ENSG00000198055 GRK6 NA
ENSG00000145911 N4BP3 NA
ENSG00000145916 RMND5B NA
ENSG00000197451 HNRNPAB NA
ENSG00000198939 ZFP2 NA
ENSG00000176783 RUFY1 NA
ENSG00000127022 CANX NA
ENSG00000161021 MAML1 NA
ENSG00000161011 SQSTM1 602080
ENSG00000113300 CNOT6 NA
ENSG00000146063 TRIM41 NA
ENSG00000164366 CCDC127 NA
ENSG00000066230 SLC9A3 NA
ENSG00000171368 TPPP NA
ENSG00000164362 TERT 615134
ENSG00000164362 TERT 614742
ENSG00000164362 TERT 613989
ENSG00000164362 TERT 609135
ENSG00000164362 TERT 187270
ENSG00000164362 TERT 178500
ENSG00000049656 CLPTM1L NA
ENSG00000153395 LPCAT1 NA
ENSG00000113430 IRX4 NA
ENSG00000170561 IRX2 NA
ENSG00000133398 MED10 NA
ENSG00000037474 NSUN2 611091
ENSG00000164237 CMBL NA
ENSG00000112977 DAP NA
ENSG00000169862 CTNND2 NA
ENSG00000173545 ZNF622 NA
ENSG00000145555 MYO10 NA
ENSG00000145526 CDH18 NA
ENSG00000154162 CDH12 NA
ENSG00000040731 CDH10 NA
ENSG00000113100 CDH9 NA
ENSG00000113360 DROSHA NA
ENSG00000150712 MTMR12 NA
ENSG00000056097 ZFR NA
ENSG00000164175 SLC45A2 606574
ENSG00000164175 SLC45A2 227240
ENSG00000082196 C1QTNF3 NA
ENSG00000113456 RAD1 NA
ENSG00000113492 AGXT2 NA
ENSG00000113494 PRLR NA
ENSG00000152611 CAPSL NA
ENSG00000152620 NADK2 NA
ENSG00000113569 NUP155 NA
ENSG00000168621 GDNF 613711
ENSG00000168621 GDNF 209880
ENSG00000113594 LIFR 601559
ENSG00000164327 RICTOR NA
ENSG00000113600 C9 613825
ENSG00000132356 PRKAA1 NA
ENSG00000039537 C6 612446
ENSG00000112972 HMGCS1 NA
ENSG00000151882 CCL28 NA
ENSG00000070193 FGF10 180920
ENSG00000070193 FGF10 149730
ENSG00000164588 HCN1 NA
ENSG00000170571 EMB NA
ENSG00000164172 MOCS2 252150
ENSG00000185305 ARL15 NA
ENSG00000164283 ESM1 NA
ENSG00000152669 CCNO NA
ENSG00000067248 DHX29 NA
ENSG00000067113 PPAP2A NA
ENSG00000145632 PLK2 NA
ENSG00000049167 ERCC8 614621
ENSG00000049167 ERCC8 216400
ENSG00000130119 GNL3L NA
ENSG00000086189 DIMT1 NA
ENSG00000153006 SREK1IP1 NA
ENSG00000123219 CENPK NA
ENSG00000113595 TRIM23 NA
ENSG00000197860 SGTB NA
ENSG00000085231 TAF9 NA
ENSG00000113048 MRPS27 NA
ENSG00000164331 ANKRA2 NA
ENSG00000171617 ENC1 NA
ENSG00000164347 GFM2 NA
ENSG00000113163 COL4A3BP NA
ENSG00000152359 POC5 NA
ENSG00000164220 F2RL2 NA
ENSG00000171530 TBCA NA
ENSG00000132842 AP3B1 608233
ENSG00000132842 AP3B1 203300
ENSG00000152413 HOMER1 NA
ENSG00000145687 SSBP2 NA
ENSG00000186468 RPS23 NA
ENSG00000145681 HAPLN1 NA
ENSG00000164176 EDIL3 NA
ENSG00000134480 CCNH NA
ENSG00000081189 MEF2C 613443
ENSG00000153140 CETN3 NA
ENSG00000113369 ARRDC3 NA
ENSG00000175471 MCTP1 NA
ENSG00000198677 TTC37 222470
ENSG00000173221 GLRX NA
ENSG00000175426 PCSK1 612362
ENSG00000175426 PCSK1 600955
ENSG00000058729 RIOK2 NA
ENSG00000153922 CHD1 NA
ENSG00000113532 ST8SIA4 NA
ENSG00000145723 GIN1 NA
ENSG00000112874 NUDT12 NA
ENSG00000184349 EFNA5 NA
ENSG00000198961 PJA2 NA
ENSG00000134986 NREP NA
ENSG00000129625 REEP5 NA
ENSG00000171444 MCC NA
ENSG00000212122 TSSK1B NA
ENSG00000164219 PGGT1B NA
ENSG00000164221 CCDC112 NA
ENSG00000145780 FEM1C NA
ENSG00000129596 CDO1 NA
ENSG00000145782 ATG12 NA
ENSG00000118181 RPS25 NA
ENSG00000092421 SEMA6A NA
ENSG00000113083 LOX NA
ENSG00000168938 PPIC NA
ENSG00000138829 FBN2 121050
ENSG00000169567 HINT1 137200
ENSG00000072682 P4HA2 NA
ENSG00000125347 IRF1 613659
ENSG00000113525 IL5 NA
ENSG00000131437 KIF3A NA
ENSG00000164402 SEPT8 NA
ENSG00000164403 SHROOM1 NA
ENSG00000164404 GDF9 NA
ENSG00000072364 AFF4 NA
ENSG00000155329 ZCCHC10 NA
ENSG00000213585 VDAC1 NA
ENSG00000113558 SKP1 NA
ENSG00000152700 SAR1B 246700
ENSG00000069011 PITX1 186550
ENSG00000069011 PITX1 119800
ENSG00000113648 H2AFY NA
ENSG00000181965 NEUROG1 NA
ENSG00000145839 IL9 NA
ENSG00000152377 SPOCK1 NA
ENSG00000177733 HNRNPA0 NA
ENSG00000112981 NME5 NA
ENSG00000112983 BRD8 NA
ENSG00000094880 CDC23 NA
ENSG00000158402 CDC25C NA
ENSG00000120705 ETF1 NA
ENSG00000120725 SIL1 248800
ENSG00000170482 SLC23A1 NA
ENSG00000170476 MZB1 NA
ENSG00000158458 NRG2 NA
ENSG00000113068 PFDN1 NA
ENSG00000113070 HBEGF NA
ENSG00000213523 SRA1 NA
ENSG00000113108 APBB3 NA
ENSG00000170445 HARS 614504
ENSG00000178913 TAF7 NA
ENSG00000131504 DIAPH1 124900
ENSG00000171720 HDAC3 NA
ENSG00000120318 ARAP3 NA
ENSG00000156453 PCDH1 NA
ENSG00000113555 PCDH12 NA
ENSG00000113552 GNPDA1 NA
ENSG00000187678 SPRY4 615266
ENSG00000113578 FGF1 NA
ENSG00000113580 NR3C1 138040
ENSG00000145817 YIPF5 NA
ENSG00000133706 LARS NA
ENSG00000173250 GPR151 NA
ENSG00000156475 PPP2R2B 604326
ENSG00000113657 DPYSL3 NA
ENSG00000176049 JAKMIP2 NA
ENSG00000164266 SPINK1 608189
ENSG00000164266 SPINK1 167800
ENSG00000127743 IL17B NA
ENSG00000132915 PDE6A 613810
ENSG00000164296 TIGD6 NA
ENSG00000182578 CSF1R 221820
ENSG00000113721 PDGFRB 615007
ENSG00000113721 PDGFRB 607785
ENSG00000113721 PDGFRB 601626
ENSG00000113721 PDGFRB 228550
ENSG00000113721 PDGFRB 131440
ENSG00000070808 CAMK2A NA
ENSG00000019582 CD74 NA
ENSG00000086589 RBM22 NA
ENSG00000132912 DCTN4 NA
ENSG00000145901 TNIP1 NA
ENSG00000197043 ANXA6 NA
ENSG00000113140 SPARC NA
ENSG00000113196 HAND1 NA
ENSG00000170271 FAXDC2 NA
ENSG00000082516 GEMIN5 NA
ENSG00000113249 HAVCR1 NA
ENSG00000155868 MED7 NA
ENSG00000135074 ADAM19 NA
ENSG00000039600 SOX30 NA
ENSG00000113282 CLINT1 NA
ENSG00000164330 EBF1 NA
ENSG00000113302 IL12B 612599
ENSG00000113302 IL12B 209950
ENSG00000164609 SLU7 NA
ENSG00000145864 GABRB2 NA
ENSG00000170584 NUDCD2 NA
ENSG00000184347 SLIT3 NA
ENSG00000043462 LCP2 NA
ENSG00000145936 KCNMB1 608622
ENSG00000072803 FBXW11 NA
ENSG00000072786 STK10 273300
ENSG00000120129 DUSP1 NA
ENSG00000113739 STC2 NA
ENSG00000184845 DRD1 NA
ENSG00000122203 KIAA1191 NA
ENSG00000048162 NOP16 NA
ENSG00000175416 CLTB NA
ENSG00000074317 SNCB NA
ENSG00000160883 HK3 NA
ENSG00000087206 UIMC1 NA
ENSG00000213347 MXD3 NA
ENSG00000169223 LMAN2 NA
ENSG00000131187 F12 610618
ENSG00000131187 F12 234000
ENSG00000113758 DBN1 NA
ENSG00000146094 DOK3 NA
ENSG00000175325 PROP1 262600
ENSG00000050767 COL23A1 NA
ENSG00000113240 CLK4 NA
ENSG00000113262 GRM6 257270
ENSG00000169045 HNRNPH1 NA
ENSG00000161013 MGAT4B NA
ENSG00000113269 RNF130 NA
ENSG00000146090 RASGEF1C NA
ENSG00000050748 MAPK9 NA
ENSG00000131459 GFPT2 NA
ENSG00000037280 FLT4 602089
ENSG00000037280 FLT4 153100
ENSG00000131446 MGAT1 NA
ENSG00000146054 TRIM7 NA
ENSG00000112679 DUSP22 NA
ENSG00000137265 IRF4 254500
ENSG00000054598 FOXC1 604229
ENSG00000054598 FOXC1 602482
ENSG00000054598 FOXC1 601631
ENSG00000124535 WRNIP1 NA
ENSG00000124588 NQO2 NA
ENSG00000137275 RIPK1 NA
ENSG00000145945 FAM50B NA
ENSG00000112739 PRPF4B NA
ENSG00000153046 CDYL NA
ENSG00000145982 FARS2 614946
ENSG00000124782 RREB1 NA
ENSG00000124784 RIOK1 NA
ENSG00000096696 DSP 612908
ENSG00000096696 DSP 609638
ENSG00000096696 DSP 607655
ENSG00000096696 DSP 607450
ENSG00000096696 DSP 605676
ENSG00000168566 SNRNP48 NA
ENSG00000153162 BMP6 NA
ENSG00000111845 PAK1IP1 NA
ENSG00000095951 HIVEP1 NA
ENSG00000008083 JARID2 NA
ENSG00000007944 MYLIP NA
ENSG00000137198 GMPR NA
ENSG00000112183 RBM24 NA
ENSG00000112186 CAP2 NA
ENSG00000137393 RNF144B NA
ENSG00000172201 ID4 NA
ENSG00000112242 E2F3 NA
ENSG00000145996 CDKAL1 125853
ENSG00000124766 SOX4 NA
ENSG00000152954 NRSN1 NA
ENSG00000124532 MRS2 NA
ENSG00000112294 ALDH5A1 271980
ENSG00000112304 ACOT13 NA
ENSG00000112312 GMNN NA
ENSG00000079691 LRRC16A NA
ENSG00000079689 SCGN NA
ENSG00000146047 HIST1H2BA NA
ENSG00000112343 TRIM38 NA
ENSG00000010704 HFE 614193
ENSG00000010704 HFE 612635
ENSG00000010704 HFE 235200
ENSG00000010704 HFE 176200
ENSG00000180573 HIST1H2AC NA
ENSG00000168298 HIST1H1E NA
ENSG00000158373 HIST1H2BD NA
ENSG00000197697 HIST1H2BE NA
ENSG00000124557 BTN1A1 NA
ENSG00000146109 ABT1 NA
ENSG00000112812 PRSS16 NA
ENSG00000196374 HIST1H2BM NA
ENSG00000196331 HIST1H2BO NA
ENSG00000197279 ZNF165 NA
ENSG00000196812 ZSCAN16 NA
ENSG00000198315 ZKSCAN8 NA
ENSG00000137185 ZSCAN9 NA
ENSG00000096433 ITPR3 NA
ENSG00000124507 PACSIN1 NA
ENSG00000124562 SNRPC NA
ENSG00000064999 ANKS1A NA
ENSG00000065029 ZNF76 NA
ENSG00000023892 DEF6 NA
ENSG00000112033 PPARD NA
ENSG00000112039 FANCE 600901
ENSG00000112062 MAPK14 NA
ENSG00000156711 MAPK13 NA
ENSG00000112078 KCTD20 NA
ENSG00000112081 SRSF3 NA
ENSG00000124762 CDKN1A NA
ENSG00000146192 FGD2 NA
ENSG00000137193 PIM1 NA
ENSG00000065491 TBC1D22B NA
ENSG00000112130 RNF8 NA
ENSG00000156639 ZFAND3 NA
ENSG00000112164 GLP1R NA
ENSG00000146122 DAAM2 NA
ENSG00000124701 APOBEC2 NA
ENSG00000001167 NFYA NA
ENSG00000096264 NCR2 NA
ENSG00000137166 FOXP4 NA
ENSG00000112559 MDFI NA
ENSG00000112578 BYSL NA
ENSG00000137413 TAF8 NA
ENSG00000024048 UBR2 NA
ENSG00000124713 GNMT 606664
ENSG00000112640 PPP2R5D NA
ENSG00000124702 KLHDC3 NA
ENSG00000137171 KLC4 NA
ENSG00000112655 PTK7 NA
ENSG00000112658 SRF NA
ENSG00000112659 CUL9 NA
ENSG00000137221 TJAP1 NA
ENSG00000171453 POLR1C 248390
ENSG00000170734 POLH 278750
ENSG00000124688 MAD2L1BP NA
ENSG00000112715 VEGFA 603933
ENSG00000112759 SLC29A1 NA
ENSG00000096384 HSP90AB1 NA
ENSG00000096401 CDC5L NA
ENSG00000124813 RUNX2 156510
ENSG00000124813 RUNX2 119600
ENSG00000112818 MEP1A NA
ENSG00000198087 CD2AP 607832
ENSG00000031691 CENPQ NA
ENSG00000008197 TFAP2D NA
ENSG00000008196 TFAP2B 169100
ENSG00000096093 EFHC1 607631
ENSG00000096093 EFHC1 254770
ENSG00000112146 FBXO9 NA
ENSG00000137269 LRRC1 NA
ENSG00000137251 TINAG NA
ENSG00000137252 HCRTR2 NA
ENSG00000112200 ZNF451 NA
ENSG00000112208 BAG2 NA
ENSG00000146143 PRIM2 NA
ENSG00000112245 PTP4A1 NA
ENSG00000154079 C6orf57 NA
ENSG00000079841 RIMS1 603649
ENSG00000185760 KCNQ5 NA
ENSG00000080007 DDX43 NA
ENSG00000135297 MTO1 614702
ENSG00000156535 CD109 NA
ENSG00000112701 SENP6 NA
ENSG00000196586 MYO6 607821
ENSG00000196586 MYO6 606346
ENSG00000198478 SH3BGRL2 NA
ENSG00000112742 TTK NA
ENSG00000083123 BCKDHB 248600
ENSG00000065615 CYB5R4 NA
ENSG00000135318 NT5E 211800
ENSG00000168830 HTR1E NA
ENSG00000213204 C6orf165 NA
ENSG00000135336 ORC3 NA
ENSG00000146278 PNRC1 NA
ENSG00000118412 CASP8AP2 NA
ENSG00000014123 UFL1 NA
ENSG00000112214 FHL5 NA
ENSG00000184486 POU3F2 NA
ENSG00000164418 GRIK2 611092
ENSG00000187772 LIN28B NA
ENSG00000057657 PRDM1 NA
ENSG00000130348 QRSL1 NA
ENSG00000130349 C6orf203 NA
ENSG00000112320 SOBP 613671
ENSG00000112333 NR2E1 NA
ENSG00000135537 LACE1 NA
ENSG00000118690 ARMC2 NA
ENSG00000183137 CEP57L1 NA
ENSG00000135587 SMPD2 NA
ENSG00000112367 FIG4 612577
ENSG00000112367 FIG4 611228
ENSG00000112367 FIG4 216340
ENSG00000168438 CDC40 NA
ENSG00000123505 AMD1 NA
ENSG00000197498 RPF2 NA
ENSG00000155130 MARCKS NA
ENSG00000111832 RWDD1 NA
ENSG00000196911 KPNA5 NA
ENSG00000185002 RFX6 601346
ENSG00000170162 VGLL2 NA
ENSG00000164465 DCBLD1 NA
ENSG00000198523 PLN 613874
ENSG00000198523 PLN 609909
ENSG00000111875 ASF1A NA
ENSG00000152661 GJA1 600309
ENSG00000152661 GJA1 257850
ENSG00000152661 GJA1 241550
ENSG00000152661 GJA1 234100
